Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,462.0,8.0,156.0,2071.0,0.0,82.60599999999987,0.0,0.0,250.3667106628418,,,,,,,,,,,,,,,,,,,,,32.21090737478193,23.695947776603013,77.65875720674079,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,497.0,9.0,35.0,2106.0,0.0,11.50600000000001,0.0,0.0,253.0499496459961,,,,,,,,,,,,,,,,,,,,,2.3719118615684303,3.3230929007342294,11.434417502347456,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,529.0,10.0,32.0,2138.0,0.0,14.255000000000008,0.0,0.0,255.78303909301758,,,,,,,,,,,,,,,,,,,,,3.618564839422505,4.497615006835168,14.153359284422905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,558.0,11.0,29.0,2167.0,0.0,11.505000000000008,0.0,0.0,258.11624121665955,,,,,,,,,,,,,,,,,,,,,2.7677801654553864,3.523186658134561,11.436170545747544,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,593.0,12.0,35.0,2202.0,0.0,22.504000000000012,0.0,0.0,260.89789366722107,,,,,,,,,,,,,,,,,,,,,7.5976129707847395,7.504536449856036,22.260343889912452,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,625.0,13.0,32.0,2234.0,0.0,15.905000000000006,0.0,0.0,263.61350178718567,,,,,,,,,,,,,,,,,,,,,4.352616248328731,5.158581881614358,15.781497777831314,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,655.0,14.0,30.0,2264.0,0.0,8.257999999999997,0.0,0.0,266.2347047328949,,,,,,,,,,,,,,,,,,,,,1.4517363648276043,2.3183756260279225,8.22267057963481,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,710.0,15.0,55.0,2319.0,0.0,33.00499999999995,0.0,0.0,270.27871894836426,,,,,,,,,,,,,,,,,,,,,10.333462292249836,10.762557022037562,32.46912870262889,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,746.0,16.0,36.0,2355.0,0.0,12.95700000000001,0.0,0.0,273.1385202407837,,,,,,,,,,,,,,,,,,,,,2.8519205077586847,3.8345695126049892,12.867198059780472,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,770.0,17.0,24.0,2379.0,0.0,8.855000000000002,0.0,0.0,275.0568037033081,,,,,,,,,,,,,,,,,,,,,2.022567359739343,2.714486827057674,8.815273657023281,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,798.0,18.0,28.0,2407.0,0.0,12.155000000000006,0.0,0.0,277.3980522155762,,,,,,,,,,,,,,,,,,,,,3.072965584414753,3.8318267515555626,12.08103800163803,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,846.0,19.0,48.0,2455.0,0.0,20.457000000000026,0.0,0.0,280.9433403015137,,,,,,,,,,,,,,,,,,,,,4.923828386097154,6.264440802955249,20.240897134601948,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,948.0,20.0,102.0,2557.0,0.0,38.55699999999981,0.0,0.0,288.15676760673523,,,,,,,,,,,,,,,,,,,,,8.196022030497682,11.073947744921057,37.75876451740664,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,37.0,1.0,37.0,2594.0,0.0,16.00400000000002,0.0,0.0,348.6704099178314,,,,,,,,,,,,,,,,,,,,,4.019064909640814,4.933824183540019,15.871165764107403,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,72.0,2.0,35.0,2629.0,0.0,16.154000000000018,0.0,0.0,349.6410381793976,,,,,,,,,,,,,,,,,,,,,4.312599583153937,5.044309015700292,16.0190780926823,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,94.0,3.0,22.0,2651.0,0.0,9.754000000000005,0.0,0.0,351.535001039505,,,,,,,,,,,,,,,,,,,,,2.562885638141607,3.1281190548788955,9.707323839800685,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,121.0,4.0,27.0,2678.0,0.0,11.806000000000004,0.0,0.0,353.7553963661194,,,,,,,,,,,,,,,,,,,,,2.957919485640726,3.7647726969586848,11.737874047935641,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,143.0,5.0,22.0,2700.0,0.0,8.804000000000002,0.0,0.0,355.5507049560547,,,,,,,,,,,,,,,,,,,,,2.1623851621138575,2.7578175779629075,8.765192719152648,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,259.0,6.0,116.0,2816.0,0.0,58.61199999999991,0.0,0.0,363.75201082229614,,,,,,,,,,,,,,,,,,,,,22.024302735690107,16.874865866649472,56.11329417683678,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,299.0,7.0,40.0,2856.0,0.0,23.655000000000015,0.0,0.0,366.8221344947815,,,,,,,,,,,,,,,,,,,,,7.355551022499374,7.831316756738394,23.38416212122125,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,369.0,8.0,70.0,2926.0,0.0,28.705000000000037,0.0,0.0,371.99771904945374,,,,,,,,,,,,,,,,,,,,,10.730103393162693,8.1808160927326,27.98187463711574,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,394.0,9.0,25.0,2951.0,0.0,8.905000000000003,0.0,0.0,374.02280378341675,,,,,,,,,,,,,,,,,,,,,1.9814825817799997,2.695858529029722,8.864327262718222,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,537.0,10.0,143.0,3094.0,0.0,74.00999999999995,0.0,0.0,384.242134809494,,,,,,,,,,,,,,,,,,,,,35.60172459284444,19.699386449430435,68.98794132454782,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,577.0,11.0,40.0,3134.0,0.0,12.305000000000016,0.0,0.0,387.6040506362915,,,,,,,,,,,,,,,,,,,,,2.519883954472056,3.417285601432048,12.216421062884011,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,620.0,12.0,43.0,3177.0,0.0,23.90500000000002,0.0,0.0,390.8674535751343,,,,,,,,,,,,,,,,,,,,,8.697400152817767,7.643806454829172,23.554566359788634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
